filename,commit_count
zsysnum_darwin_arm.go,3
zsysnum_darwin_arm64.go,3
zsysnum_dragonfly_amd64.go,3
env_windows.go,3
diff.pb.go,3
fakecontext.go,3
overlay.go,3
cgo_pkgconfig.go,3
rangeloop.go,3
const15.go,3
buildtree.go,3
plumbing.go,3
suffixtree.go,3
golang.go,3
kind_string.go,3
width.go,3
big.go,3
adjcmartix.go,3
bindata.go,3
entropyCalculator.go,3
frequency.go,3
dateMatchers.go,3
dictionaryMatch.go,3
leet.go,3
matching.go,3
repeatMatch.go,3
sequenceMatch.go,3
spatialMatch.go,3
scoring.go,3
mathutils.go,3
zxcvbn.go,3
integrate.go,3
rangecheck.go,3
decode_hooks.go,3
mapstructure.go,3
toml.go,3
tomltree_write.go,3
cast.go,3
caste.go,3
composition.go,3
forminfo.go,3
iter.go,3
normalize.go,3
readwriter.go,3
yaml.go,3
yamlh.go,3
typecheck_test.go,3
run_config.go,3
program.go,3
goutils.go,3
ascii.go,3
legal.go,3
mime.go,3
notwords.go,3
replace.go,3
stringreplacer.go,3
newInterface11.go,3
log_mock.go,3
nolint_bad_names.go,3
skip.go,3
forward_requirements.go,3
type_expr_walker.go,3
checkers_db.go,3
lintpack.go,3
dev_aix_ppc.go,3
dev_aix_ppc64.go,3
syscall_aix_ppc.go,3
syscall_aix_ppc64.go,3
types_aix.go,3
xattr_bsd.go,3
homedir.go,3
captLocal_checker.go,3
commentedOutImport_checker.go,3
dupSubExpr_checker.go,3
elseif_checker.go,3
emptyFallthrough_checker.go,3
emptyStringTest_checker.go,3
hugeParam_checker.go,3
importShadow_checker.go,3
initClause_checker.go,3
nestingReduce_checker.go,3
nilValReturn_checker.go,3
offBy1_checker.go,3
paramTypeCombine_checker.go,3
ptrToRefParam_checker.go,3
sloppyReassign_checker.go,3
typeUnparen_checker.go,3
unnecessaryBlock_checker.go,3
valSwap_checker.go,3
ssautil.go,3
commentFormatting_checker.go,3
equalFold_checker.go,3
iexport.go,3
syscall_darwin_libSystem.go,3
syscall_freebsd_arm64.go,3
syscall_netbsd_arm64.go,3
zerrors_freebsd_arm64.go,3
zerrors_netbsd_arm64.go,3
zsyscall_aix_ppc64_gc.go,3
zsyscall_aix_ppc64_gccgo.go,3
zsysnum_freebsd_arm64.go,3
ztypes_netbsd_arm64.go,3
ctrlflow.go,3
inspect.go,3
loopclosure.go,3
unreachable.go,3
inspector.go,3
implements.go,3
nolint_whole_file.go,3
diagnostic.go,3
mod_cache.go,3
zerrors_openbsd_arm64.go,3
zsyscall_openbsd_arm64.go,3
mock_log.go,3
guard.go,3
purity.go,3
labels.go,3
deepequalerrors.go,3
findcall.go,3
pkgfact.go,3
